msg_id,group,payload_bytes,srm_distance,kl_divergence,srm_decision,chi2_val,chi2_decision
G1-M1,G1,44,0.00020084,3e-08,NOT DETECTED,1.9885,NOT DETECTED
G1-M2,G1,44,0.000219,2e-08,NOT DETECTED,0.4835,NOT DETECTED
G1-M3,G1,44,0.0002458,7e-08,NOT DETECTED,0.0685,NOT DETECTED
G1-M4,G1,44,0.00035874,1.5e-07,NOT DETECTED,3.2288,NOT DETECTED
G1-M5,G1,44,0.00016363,2e-08,NOT DETECTED,0.7725,NOT DETECTED
G2-M1,G2,88,0.00034107,8e-08,NOT DETECTED,0.0769,NOT DETECTED
G2-M2,G2,88,0.00038959,1.3e-07,NOT DETECTED,2.0329,NOT DETECTED
G2-M3,G2,88,0.00050455,6.2e-07,NOT DETECTED,0.2699,NOT DETECTED
G2-M4,G2,88,0.00025292,1.2e-07,NOT DETECTED,5.402,DETECTED
G2-M5,G2,108,0.00051327,1.8e-07,NOT DETECTED,0.3164,NOT DETECTED
G3-M1,G3,216,0.0007331,2.7e-07,NOT DETECTED,0.4567,NOT DETECTED
G3-M2,G3,236,0.00114757,4.18e-06,NOT DETECTED,1.3189,NOT DETECTED
G3-M3,G3,236,0.00094646,4.9e-07,NOT DETECTED,0.0858,NOT DETECTED
G3-M4,G3,236,0.00082516,9e-07,NOT DETECTED,0.0111,NOT DETECTED
G3-M5,G3,236,0.00082567,1.2e-06,NOT DETECTED,4.734,DETECTED
G4-M1,G4,492,0.00213132,9.2e-06,NOT DETECTED,7.3492,DETECTED
G4-M2,G4,556,0.00265155,1.035e-05,NOT DETECTED,0.022,NOT DETECTED
G4-M3,G4,536,0.00251711,6.16e-06,NOT DETECTED,0.188,NOT DETECTED
G4-M4,G4,576,0.00261555,1.01e-05,NOT DETECTED,1.5237,NOT DETECTED
G4-M5,G4,536,0.00243675,1.114e-05,NOT DETECTED,0.0748,NOT DETECTED
