msg_id,group,plaintext_len,payload_bytes,psnr_db,mse,bpp,capacity_used,capacity_max,chi2,detection,integrity
G1-M1,G1,2,44,84.01,0.000258,0.001343,0.0448,98304,3.7237,NOT DETECTED,PASS
G1-M2,G1,2,44,84.73,0.000219,0.001343,0.0448,98304,0.7385,NOT DETECTED,PASS
G1-M3,G1,3,44,84.94,0.000209,0.001343,0.0448,98304,1.9447,NOT DETECTED,PASS
G1-M4,G1,9,44,84.53,0.000229,0.001343,0.0448,98304,0.5862,NOT DETECTED,PASS
G1-M5,G1,4,44,84.32,0.00024,0.001343,0.0448,98304,1.1878,NOT DETECTED,PASS
G2-M1,G2,42,88,81.39,0.000472,0.002686,0.0895,98304,1.0078,NOT DETECTED,PASS
G2-M2,G2,42,88,81.38,0.000473,0.002686,0.0895,98304,0.0232,NOT DETECTED,PASS
G2-M3,G2,43,88,81.41,0.00047,0.002686,0.0895,98304,3.0352,NOT DETECTED,PASS
G2-M4,G2,40,88,81.36,0.000476,0.002686,0.0895,98304,1.2307,NOT DETECTED,PASS
G2-M5,G2,51,108,80.73,0.000549,0.003296,0.1099,98304,4.3511,DETECTED,PASS
G3-M1,G3,135,216,77.64,0.00112,0.006592,0.2197,98304,3.501,NOT DETECTED,PASS
G3-M2,G3,146,236,77.21,0.001236,0.007202,0.2401,98304,1.8479,NOT DETECTED,PASS
G3-M3,G3,150,236,77.03,0.001289,0.007202,0.2401,98304,0.0531,NOT DETECTED,PASS
G3-M4,G3,148,236,77.37,0.001193,0.007202,0.2401,98304,0.3208,NOT DETECTED,PASS
G3-M5,G3,155,236,77.31,0.001208,0.007202,0.2401,98304,7.5625,DETECTED,PASS
G4-M1,G4,339,492,74.15,0.0025,0.015015,0.5005,98304,1.4758,NOT DETECTED,PASS
G4-M2,G4,388,556,73.65,0.002809,0.016968,0.5656,98304,1.6516,NOT DETECTED,PASS
G4-M3,G4,372,536,73.73,0.002753,0.016357,0.5452,98304,1.6018,NOT DETECTED,PASS
G4-M4,G4,410,576,73.5,0.002902,0.017578,0.5859,98304,0.3906,NOT DETECTED,PASS
G4-M5,G4,374,536,73.75,0.002743,0.016357,0.5452,98304,2.7691,NOT DETECTED,PASS
